label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	1494 m	0.0489	BASEBALL	CAT	1.1526	1135	0.867	434 N	-0.0128	0.4094	Running	1067	1010 m^3	1.1397
1	759 m	0.1867	baseball	dog	1.401	614	0.8994	384 N	0.3439	0.2483	running	1652	127 m^3	1.212
0	805 m	0.4438	running	guinea pig	0.8685	1050	0.897	1384 N	0.3116	0.8425	football	519	1099 m^3	0.5208
3	632 m	0.544	motor sports	cat	0.0314	813	0.1455	573 N	0.8104	0.8392	boxing	1145	162 m^3	0.784
2	551 m	0.4253	ice hockey	pig	0.9092	678	0.3761	1136 N	0.5272	0.8715	ice hockey	369	935 m^3	0.7487
4	603 m	0.5763	badminton	chicken, rabbit	1.1053	653	0.4937	721 N	0.973	0.9854	volleyball	257	1501 m^3	-0.1905
0	622 m	0.3551	boxing	reptile, guinea pig	0.7631	580	1.1416	585 N	0.3575	0.9948	motor sports	1409	1518 m^3	0.4216
0	811 m	-0.1078	running	guinea pig	0.5358		0.7347	805 N	0.5591	0.5739	boxing	1172	475 m^3	-0.2662
3	724 m	0.6685	badminton	chicken, ferret, fish, rat	0.2148	293	-0.3305	-16 N	0.9649	1.3182	boxing	834	69 m^3	0.7573
2	204 m	0.6205	ice hockey	pig	0.4391	722	0.2956	1109 N	0.2659	0.2034	baseball	1080	1026 m^3	0.9378
3	635 m	1.1679	motor sports	hamster	0.2293	None	-0.1364	352 N	0.9082	0.5631	ice hockey	832	888 m^3	0.5886
1	775 m	0.0167	baseball	dog	0.7391	525	1.0373	552 N	-0.4907	0.5338	golf	858	176 m^3	1.2534
0	585 m	-0.0096	boxing	guinea pig, reptile	1.4163	475	0.7883	815 N	-0.0641	n/a	motor sports	1241	765 m^3	0.9787
0	868 m	0.0765	volleyball	bird	0.6306	-128	1.066	1146 N	0.5068	0.3869	football	658	617 m^3	0.6644
4	875 m	0.4463	ice hockey	chicken, rabbit	0.9691	806	0.3224	1344 N	0.5976	1.1203	baseball	104	235 m^3	-0.1517
2	639 m	0.8635	ice hockey	pig	0.763	556	0.8683	270 N	0.2263	0.495	track & field	884	1371 m^3	1.1012
3	794 m	-0.3603	motor sports	hamster	0.1658	915	0.451	245 N	0.6387	0.332	soccer	1503	422 m^3	0.3856
4	-108 m	0.8662	football	rat, ferret, chicken, fish	0.8791	21	0.2407	400 N	0.8766	0.1617	n/a	-151	117 m^3	0.2007
0	900 m	0.9058	volleyball	guinea pig	0.9746	603	0.8532	1371 N	0.6733	0.3681	football	-380	1119 m^3	0.7129
0	718 m		golf	reptile, bird	1.6421	821	1.1688	1371 N	0.1995	0.5561	football	461	1161 m^3	0.1651
2	898 m	0.6304	ice hockey	pig	0.4917	723	0.4918	1106 N	0.5667	1.0861	track & field	743	806 m^3	0.5048
1	1329 m	-0.1593	track & field	cat	1.1066	1698	1.0644	295 N	0.0173	0.7666	basketball	1040	1174 m^3	1.3704
4	1326 m	0.6021	football	ferret	1.1218	358	0.5154	1154 N	0.892	1.6587	baseball	315	1221 m^3	0.0838
2	129 m	0.3552	ice hockey	pig	0.8756	1024	0.3309	947 N	0.1618	0.8559	ice hockey	748	1197 m^3	0.0749
0	742 m	-0.2202	running	bird, guinea pig	0.7348	176	0.6423	985 N	0.2159	0.8199	motor sports	428	1150 m^3	0.8442
0	990 m	-0.2533	boxing	reptile	0.764	788	0.8778	870 N	0.4136	0.2242	tennis	413	313 m^3	0.2022
3	1004 m	0.6634	motor sports	hamster	0.189	289	-0.2867	222 N	0.5308	1.1945	boxing	409	386 m^3	1.1748
1	1648 m	-0.0351	soccer	cat	1.3954	1238	0.9606	547 N	-0.0999	1.2713	badminton	956	642 m^3	1.0107
0	817 m	0.8883	running	reptile, guinea pig	0.6157	1245	0.964	710 N	0.5976	1.0132	golf	402	1454 m^3	0.5361
1	1056 m	0.8059	tennis	cat	0.5587	922	0.644	679 N	0.251	0.7518	badminton	820	694 m^3	0.4376
4	618 m	0.0952		ferret, chicken	1.5988	-127	0.5564	812 N	1.0424	0.295	baseball	232	848 m^3	0.0137
4	311 m	0.0027	running	NULL	1.1564	431	0.3388	1156 N	0.6952	1.0048	volleyball	294	1400 m^3	0.5537
1	863 m	0.7922	soccer	cat	1.1193	1182	1.1684	998 N		0.9478	basketball	1449	1008 m^3	0.9303
1	1685 m	0.7523	soccer	cat	1.0531	766	1.2716	893 N	-0.1054	1.128	golf	796	657 m^3	1.0141
4	877 m	0.8109	football	dog	0.952	209	0.4684	967 N	0.9541	0.9266	baseball	334	603 m^3	0.3149
1	440 m	-0.0227	baseball	cat	0.7533	860	0.9183	798 N	-0.3624	1.07	N/A	1272	-33 m^3	0.3255
3	1290 m	0.2249	basketball	hamster	0.6435	330	0.3584	452 N	0.7386	0.6262	soccer	768	313 m^3	0.8639
4	956 m	1.0062	football	chicken, rat	0.7547	-403	0.0422	1538 N	0.4031	0.64	BASEBALL	230	655 m^3	0.0181
0	738 m	-0.6423	boxing	GUINEA PIG	1.3797	866	1.1233	1193 N	0.7053	0.8863	football	604	709 m^3	-0.1053
1	1169 m	-0.7683	track & field	dog	0.8725	1396	1.0621	-183 N	-0.0376	NULL	basketball	640	596 m^3	0.9934
2	508 m	0.7368	volleyball	pig	0.924	683	1.0201	1149 N	-0.1501	1.0742	tennis	971	834 m^3	0.6794
0	274 m	-0.1308	volleyball	guinea pig, reptile	1.1344	370	0.6679	246 N	0.0608	0.9334	football	977	647 m^3	0.8431
4	1012 m	0.6189	volleyball	rat, rabbit, chicken, fish	1.0572	-144	0.0201	1628 N	0.7513	1.4558	baseball	571	904 m^3	-0.0402
2	751 m	0.1707	ice hockey	pig	0.6398	1056	0.5536	1294 N	-0.0177	0.8452	track & field	1282	656 m^3	1.2107
3	950 m	n/a	motor sports	hamster	0.503	1569	-0.0347	513 N	1.3279	1.166	baseball	400	606 m^3	1.0861
2	115 m	0.9023	ice hockey	pig	0.9903	908	0.6274	376 N	0.6073	0.8337	ice hockey	534	348 m^3	0.8357
2	756 m	0.3872	badminton	pig	0.6833	1106	0.9671	567 N	-0.1629	1.0708	ice hockey	734	1158 m^3	0.8521
1	597 m	0.2432	running	dog	1.1487	872	0.9998	394 N	-0.0183	1.5395	basketball	604	493 m^3	?
0	1011 m	0.4186	running	cat	0.8077	177	0.734	801 N	0.1786	0.5156	football	560	1386 m^3	0.1698
1	825 m	0.7344	baseball	cat	1.4919	909	1.0833	373 N	0.2734	1.4031	golf	622	577 m^3	0.9336
4	716 m	0.9939	football	pig	1.4395	-227	-0.2587	957 N	0.9278	0.4239	baseball	52	161 m^3	-0.2275
4	978 m	1.2721	football	chicken, rabbit, ferret, rat	1.134	138	0.8616	N/A	0.5461	0.8688	baseball	-213	767 m^3	0.5872
0	922 m	-0.065	ice hockey	bird, reptile	0.9566	521	0.8637	1136 N	0.4989	0.6675	motor sports	265	1001 m^3	1.0694
4	1336 m	0.6028	football	rat, ferret, rabbit	0.5442	344	0.3502	746 N	0.4999	1.7268	volleyball	-268	309 m^3	0.2065
4	556 m	1.0212	badminton	rabbit	1.4621	299	0.5718	1027 N	1.0628	0.5693	Volleyball	297	689 m^3	0.2732
4	819 m	NULL	football	ferret, rabbit	1.3507	47	0.959	926 N	0.4976	0.9255	baseball	62	716 m^3	0.5962
1	938 m	-0.3804	track & field	dog	0.6432	984	0.3201	134 N	0.2128	0.9625	basketball	1533	414 m^3	0.787
0	264 m	0.3222	football	HAMSTER	n/a	968	1.1777	387 N	N/A	0.1417	motor sports	836	709 m^3	1.1641
1	1168 m	0.6714	baseball	cat	0.6972	892	0.6878	698 N	0.199	1.7194	badminton	1322	772 m^3	1.1604
4	427 m	0.7111	basketball	rat, fish, ferret	0.8069	583	0.4794	1577 N	0.6023	0.9485	baseball	307	967 m^3	0.5999
1	1444 m	0.995	track & field	dog	0.7283	1062	0.8544	242 N	0.1929	1.2878	badminton	427	1009 m^3	1.1009
1	561 m	0.045	track & field	cat	1.4266	901	0.9669	843 N	0.0648	0.4577	boxing	1175	1181 m^3	1.2378
2	531 m	0.7091	ice hockey	pig	0.7483	455	0.9557	864 N	0.1851	1.059	ice hockey	1751	1380 m^3	0.8224
4	1487 m	0.7767	Badminton	fish	0.602	-98	None	1241 N	0.9626	1.1508	baseball	626	765 m^3	0.4215
0	1204 m	0.7111	volleyball	bird	0.9709	539	0.6823	1417 N	-0.1083	0.5797	football	1396	1017 m^3	0.741
2	448 m	0.8543	ice hockey	pig	0.9139	1253	0.4445	651 N	-0.255	0.5801	track & field	702	1511 m^3	0.8939
1	1367 m	0.9201	tennis	cat	0.8008	1456	1.1721	661 N	0.0314	1.1026	basketball	1451	739 m^3	1.5159
4	1139 m	0.8883	football	chicken, ferret, rat, rabbit	1.1109	76	0.3609	758 N	0.716	1.4446	baseball	484	632 m^3	0.2536
1	598 m	0.316	Tennis	hamster	0.4029	817	0.6622	406 N	0.104	0.8921	golf	663	505 m^3	1.5065
2	352 m	0.6002	ice hockey	pig	1.0343	432	1.1796	1047 N	0.0818	0.516	ice hockey	723	840 m^3	0.6751
1	970 m	0.8845	tennis	cat	0.4781	1486	0.9414	-336 N	0.277	1.1425	basketball	1487	702 m^3	0.7907
1	758 m	0.0342	TRACK & FIELD	dog	1.1318	911	0.501	435 N	0.326	0.2287	basketball	769	941 m^3	0.6971
3	998 m	1.2108	ice hockey	hamster	-0.0448	1059	0.0556	346 N	0.4634	0.2569	boxing	894	109 m^3	-0.0286
2	378 m	0.3759	track & field	pig	0.7125	910	0.9708	523 N	0.2569	1.0901	ice hockey	NULL	989 m^3	-0.1687
3	325 m	0.8875	motor sports	hamster	0.0447	836	0.0325	169 N	0.6874	0.9499	boxing	1199	356 m^3	0.9013
1	768 m	0.4123	baseball	cat	0.7397	1551	1.0696	-149 N	0.1293	0.9381	volleyball	1105	1149 m^3	0.962
3	1160 m	0.0934	baseball	hamster	0.4716	279	-0.442	233 N	1.1314		boxing	886	4 m^3	1.2551
3	915 m	0.8269	basketball	hamster	0.2029	716	0.102	141 N	0.8345	0.6784	soccer	583	631 m^3	0.7405
3	632 m	1.009	basketball	hamster	0.9325	765	0.0328	748 N	0.9094	1.2797	soccer	658	562 m^3	0.6305
4	727 m	0.5349	badminton	fish, chicken, rat	1.4018	53	0.466	1579 N	0.3546	1.3511	baseball	399	817 m^3	0.1986
1	1126 m	None	track & field	dog	0.8961	1293	1.1241	1159 N	-0.0239	0.1574	running	769	1176 m^3	0.8376
3	703 m	1.242	BADMINTON	hamster	0.2915	969	0.2848	382 N	1.3335	0.6546	soccer	1023	103 m^3	0.6268
3	1076 m	0.2728	MOTOR SPORTS	hamster	0.4836	1257	0.3441	-381 N	0.8166	1.2883	soccer	991	258 m^3	0.6844
